AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2021;18048;3;JARDÍN INFANTIL ANN KUDAO;8;BBIO;81;8107;PENCO;83;CONCEPCIÓN;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18049;1;COLEGIO ADVENTISTA DE CONCEPCION;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;1;48;15;33;8;24;12;4;0;0;311;1010;528;176;0;0;2025
2021;18050;5;COLEGIO LA FUENTE;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;1;14;4;10;5;4;4;0;1;0;158;165;180;0;45;0;548
2021;18051;3;ESCUELA BASICA DIFERENCIAL ARCO IRIS;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;1;1;5;3;2;1;0;4;0;0;0;44;0;152;0;0;0;196
2021;18052;1;ESCUELA DE LENGUAJE CHILEDUCA;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;5;1;4;2;3;0;0;0;0;47;110;0;0;0;0;157
2021;18054;8;CENTRO DE NIVELACIÓN Y DE CAPACITACIÓN PARA ADULTOS MADRE MARIA M Y S;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;7;1;6;2;4;1;0;0;0;29;118;45;0;0;0;192
2021;18055;6;COLEGIO MOZART SCHULE;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18061;0;ESCUELA DE LENGUAJE BULNES;16;NUBLE;161;16102;BULNES;81;ÑUBLE;3;2;0;1;7;1;6;1;0;1;1;4;0;24;0;40;45;179;0;288
2021;18062;9;ESCUELA DE LENGUAJE INALAF;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;1;5;2;3;1;2;2;0;0;0;44;35;89;0;0;0;168
2021;18063;7;ESCUELA DE LENGUAJE BELEN;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;8;2;6;1;0;6;1;0;0;27;0;240;44;0;0;311
2021;18064;5;ESCUELA DE LENGUAJE VALENTINA;8;BBIO;81;8108;SAN PEDRO DE LA PAZ;83;CONCEPCIÓN;3;2;0;1;4;0;4;1;2;0;1;0;0;10;88;0;30;0;0;128
2021;18065;3;ESCUELA NUEVA REPUBLICA;8;BBIO;81;8105;HUALQUI;83;CONCEPCIÓN;6;5;0;1;43;14;29;8;0;12;11;12;0;326;0;528;449;528;0;1831
2021;18066;1;COLEGIO AURORA DE CHILE SUR;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;23;12;11;4;0;8;8;3;0;115;0;352;352;132;0;951
2021;18068;8;ESCUELA DIFERENCIAL AUTISTA ASPAUT CHIGUAYANT;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
