RBD,NOM_RBD,DOCENTES
597,COLEGIO PEDRO PABLO MUÑOZ,22
598,ESCUELA DE PUNTA DE CHOROS,2
599,ESCUELA JOSE SANTOS OSSA,8
602,ESCUELA BASICA CARLOS CONDELL,14
604,ESCUELA DE PUNTA COLORADA,4
606,ESCUELA BASICA SAN ANDRES,2
608,ESCUELA DE LOS CHOROS,2
609,INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO,32
610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,31
611,LICEO DIEGO PORTALES,26
612,ESCUELA GUILLERMO CERECEDA,23
613,COLEGIO DE ARTES CLAUDIO ARRAU,35
614,ESCUELA PRESIDENTE ANIBAL PINTO,25
615,ESCUELA COQUIMBO,27
616,ESCUELA CARDENAL JOSE MARIA CARO,55
617,COLEGIO SANTA CECILIA,27
618,ESCUELA SANTO TOMAS DE AQUINO,41
620,ESCUELA JOSE ALFARO ALFARO,26
621,ESCUELA BASICA MARIO MUNOZ SILVA,24
623,CENTRO LABORAL JEAN PIAGET,13
624,ESCUELA DIFERENCIAL JUAN SANDOVAL C.,21
625,ESCUELA TOMASA OLIVARES CAAMANO,28
626,ESCUELA BASICA DAVID LEON TAPIA,46
628,ESCUELA DE PENUELAS,18
629,COLEGIO PABLO NERUDA,31
630,COLEGIO LA HERRADURA,20
631,ESCUELA SAN RAFAEL,33
632,ESCUELA BASICA MANUEL DE SALAS,28
634,ESCUELA DE HUACHALALUME,6
635,ESCUELA DE TOTORALILLO,5
637,ESCUELA LUCILA GODOY ALCAYAGA,18
638,ESCUELA DE CAMARONES,2
639,ESCUELA DE LAS BARRANCAS,9
641,ESCUELA DE LAS CARDAS,4
642,ESCUELA DE EL PENON,9
643,ESCUELA DE TAMBILLOS,13
644,ESCUELA DE PUERTO ALDEA,6
645,ESCUELA DE EL TANGUE,2
646,COLEGIO BERNARDO O´HIGGINS,45
647,COLEGIO MANUEL MONTT,19
648,COLEGIO SANTA MARTA,50
649,COLEGIO PARTICULAR GABRIELA MISTRAL,58
650,ESCUELA PARTICULAR METODISTA,24
655,COLEGIO PARTICULAR SAN IGNACIO,14
656,LICEO PEDRO REGALADO S. VIDELA O.,22
657,ESCUELA LUIS CRUZ MARTINEZ,20
658,ESCUELA PATRICIO LYNCH,24
